"","X","id","t0","L1","L2","L3","A","Y"
"5",5,1,0,1,0.464149116581145,8,1,NA
"6",6,1,1,3,-1.58099080216335,NA,1,NA
"7",7,1,2,NA,NA,NA,NA,-5.3390728918796
"12",12,2,0,2,-1.48029061622881,5,1,NA
"13",13,2,1,1,-1.55986118754951,NA,0,NA
"14",14,2,2,NA,NA,NA,NA,-5.44703470693249
"19",19,3,0,2,-1.614062684382,6,1,NA
"20",20,3,1,2,-1.54031338752952,NA,1,NA
"21",21,3,2,NA,NA,NA,NA,-4.76232086704283
"26",26,4,0,2,-1.55862277101641,5,1,NA
"27",27,4,1,3,-1.4862386197295,NA,1,NA
"28",28,4,2,NA,NA,NA,NA,-5.36688147518952
"33",33,5,0,3,-1.57632375421617,8,1,NA
"34",34,5,1,2,-1.37557533152671,NA,1,NA
"35",35,5,2,NA,NA,NA,NA,-2.49866132055431
"40",40,6,0,2,-1.57855983914969,10,0,NA
"41",41,6,1,1,0.459565963959416,NA,1,NA
"42",42,6,2,NA,NA,NA,NA,-5.36014485266574
"47",47,7,0,3,-1.49170999772228,6,1,NA
"48",48,7,1,1,-1.64309823640958,NA,1,NA
"49",49,7,2,NA,NA,NA,NA,-4.66904679384619
"54",54,8,0,3,0.624199231538147,10,0,NA
"55",55,8,1,2,0.576651294288791,NA,1,NA
"56",56,8,2,NA,NA,NA,NA,-3.61534988786333
"61",61,9,0,2,-1.57535436356524,9,0,NA
"62",62,9,1,1,0.463236293973969,NA,0,NA
"63",63,9,2,NA,NA,NA,NA,-5.48991229471534
"68",68,10,0,3,-1.51323739810137,8,1,NA
"69",69,10,1,2,-1.53395407451374,NA,1,NA
"70",70,10,2,NA,NA,NA,NA,-4.67669580556293
"75",75,11,0,3,-1.35132173190142,6,0,NA
"76",76,11,1,3,0.271311306318954,NA,1,NA
"77",77,11,2,NA,NA,NA,NA,-4.42609251135493
"82",82,12,0,3,-1.45057534226649,5,1,NA
"83",83,12,1,2,-1.52307602112272,NA,1,NA
"84",84,12,2,NA,NA,NA,NA,-4.61741187176919
"89",89,13,0,2,-1.55445686016168,6,1,NA
"90",90,13,1,3,-1.64172030201682,NA,1,NA
"91",91,13,2,NA,NA,NA,NA,-2.70268545106682
"96",96,14,0,2,-1.36344036610915,7,1,NA
"97",97,14,1,2,-1.46090138006147,NA,1,NA
"98",98,14,2,NA,NA,NA,NA,-1.7795270036967
"103",103,15,0,2,-1.44126502849927,9,1,NA
"104",104,15,1,2,-1.59314710978557,NA,1,NA
"105",105,15,2,NA,NA,NA,NA,-4.67538244078742
"110",110,16,0,2,-1.52459229533817,10,1,NA
"111",111,16,1,2,-1.46036807000217,NA,1,NA
"112",112,16,2,NA,NA,NA,NA,-4.62567370258849
"117",117,17,0,2,-1.36800639406183,10,0,NA
"118",118,17,1,1,0.587288865328887,NA,1,NA
"119",119,17,2,NA,NA,NA,NA,-3.79174488469703
"124",124,18,0,2,0.474996275679815,6,1,NA
"125",125,18,1,2,-1.28447911825614,NA,1,NA
"126",126,18,2,NA,NA,NA,NA,-5.39066489874225
"131",131,19,0,2,-1.54386387527546,10,1,NA
"132",132,19,1,2,-1.35727227384466,NA,0,NA
"133",133,19,2,NA,NA,NA,NA,-2.5138495636326
"138",138,20,0,3,-1.51365993427526,7,1,NA
"139",139,20,1,3,-1.51286218878926,NA,1,NA
"140",140,20,2,NA,NA,NA,NA,-4.78446784271088
"145",145,21,0,2,0.374701806257754,7,1,NA
"146",146,21,1,3,-1.48128113549258,NA,1,NA
"147",147,21,2,NA,NA,NA,NA,-5.28667067614381
"152",152,22,0,2,0.463818983807456,10,1,NA
"153",153,22,1,2,-1.57180276867055,NA,1,NA
"154",154,22,2,NA,NA,NA,NA,-5.28634992052012
"159",159,23,0,2,-1.41498446139783,8,0,NA
"160",160,23,1,2,0.421494326164835,NA,1,NA
"161",161,23,2,NA,NA,NA,NA,-4.51958836372639
"166",166,24,0,2,-1.50181233512441,5,1,NA
"167",167,24,1,2,-1.5348066577002,NA,1,NA
"168",168,24,2,NA,NA,NA,NA,-4.72497387886448
"173",173,25,0,3,-1.54195564822788,5,1,NA
"174",174,25,1,1,-1.52779516576138,NA,1,NA
"175",175,25,2,NA,NA,NA,NA,-5.71682216723034
"180",180,26,0,2,-1.47242736786211,6,1,NA
"181",181,26,1,2,-1.57146140932655,NA,1,NA
"182",182,26,2,NA,NA,NA,NA,-1.70274782728901
"187",187,27,0,2,-1.37484721984159,10,1,NA
"188",188,27,1,1,-1.41397328857958,NA,1,NA
"189",189,27,2,NA,NA,NA,NA,-4.56348677961314
"194",194,28,0,2,-1.50753591247296,8,1,NA
"195",195,28,1,2,-1.49166352423321,NA,1,NA
"196",196,28,2,NA,NA,NA,NA,-4.59764908574196
"201",201,29,0,2,-1.48267124627618,5,1,NA
"202",202,29,1,2,-1.45060388217944,NA,1,NA
"203",203,29,2,NA,NA,NA,NA,-5.43138409358829
"208",208,30,0,2,-1.43950426951421,6,1,NA
"209",209,30,1,1,-1.5614321954577,NA,0,NA
"210",210,30,2,NA,NA,NA,NA,-4.6318166438837
"215",215,31,0,2,-1.69849503928191,9,1,NA
"216",216,31,1,1,-1.45256313204158,NA,1,NA
"217",217,31,2,NA,NA,NA,NA,-5.41710794054752
"222",222,32,0,2,-1.61221072554202,7,1,NA
"223",223,32,1,2,-1.38443969589896,NA,1,NA
"224",224,32,2,NA,NA,NA,NA,-2.66351182632252
"229",229,33,0,2,-1.39675160746989,9,1,NA
"230",230,33,1,2,-1.46809511968805,NA,1,NA
"231",231,33,2,NA,NA,NA,NA,-3.67220348197045
"236",236,34,0,3,-1.56630668482606,6,1,NA
"237",237,34,1,3,-1.46363859228757,NA,1,NA
"238",238,34,2,NA,NA,NA,NA,-4.79671367937183
"243",243,35,0,2,-1.58191283447364,5,1,NA
"244",244,35,1,1,-1.50242394826523,NA,1,NA
"245",245,35,2,NA,NA,NA,NA,-2.61091620257583
"250",250,36,0,3,-1.54062599189231,5,1,NA
"251",251,36,1,2,-1.54088619813549,NA,1,NA
"252",252,36,2,NA,NA,NA,NA,-2.50744607861091
"257",257,37,0,1,0.481276719283434,5,1,NA
