"","id","t0","L1","L2","L3","A","Y"
"1",1,0,"3",0.577420336295181,8,1,NA
"2",1,1,"3",-1.61960268667967,8,1,NA
"3",1,2,"3",-1.39121449292951,8,1,NA
"4",1,3,"2",-1.38143919111222,8,0,NA
"5",1,4,"1",0.464149116581145,8,1,NA
"6",1,5,"3",-1.58099080216335,8,1,NA
"7",1,6,"3",-1.38203584103437,8,1,-5.3390728918796
"8",2,0,"3",0.446583832393022,5,1,NA
"9",2,1,"3",-1.46634367736599,5,1,NA
"10",2,2,"2",-1.63975152052728,5,1,NA
"11",2,3,"3",-1.34118065422733,5,1,NA
"12",2,4,"2",-1.48029061622881,5,1,NA
"13",2,5,"1",-1.55986118754951,5,0,NA
"14",2,6,"3",0.339473675681033,5,1,-5.44703470693249
"15",3,0,"3",0.512466445741262,6,0,NA
"16",3,1,"3",0.666307886926155,6,1,NA
"17",3,2,"3",-1.40506863936436,6,1,NA
"18",3,3,"2",-1.55911285669593,6,1,NA
"19",3,4,"2",-1.614062684382,6,1,NA
"20",3,5,"2",-1.54031338752952,6,1,NA
"21",3,6,"2",-1.61104077281547,6,1,-4.76232086704283
"22",4,0,"3",0.488126010910441,5,1,NA
"23",4,1,"3",-1.36980728262833,5,0,NA
"24",4,2,"3",0.422718590371392,5,1,NA
"25",4,3,"2",-1.34168465462519,5,1,NA
"26",4,4,"2",-1.55862277101641,5,1,NA
"27",4,5,"3",-1.4862386197295,5,1,NA
"28",4,6,"3",-1.496178717069,5,1,-5.36688147518952
"29",5,0,"3",0.561635655232814,8,0,NA
"30",5,1,"1",0.591687582501576,8,1,NA
"31",5,2,"3",-1.57684458797754,8,0,NA
"32",5,3,"2",0.590648305188169,8,1,NA
"33",5,4,"3",-1.57632375421617,8,1,NA
"34",5,5,"2",-1.37557533152671,8,1,NA
"35",5,6,"2",-1.53859105615003,8,0,-2.49866132055431
"36",6,0,"2",0.551582923767374,10,1,NA
"37",6,1,"3",-1.45729904075455,10,1,NA
"38",6,2,"3",-1.54022586352735,10,1,NA
"39",6,3,"2",-1.55730313597038,10,1,NA
"40",6,4,"2",-1.57855983914969,10,0,NA
"41",6,5,"1",0.459565963959416,10,1,NA
"42",6,6,"3",-1.50397657683442,10,1,-5.36014485266574
"43",7,0,"2",0.476502224790954,6,1,NA
"44",7,1,"1",-1.4625982081564,6,0,NA
"45",7,2,"1",0.473682742911954,6,0,NA
"46",7,3,"3",0.339891937395841,6,1,NA
"47",7,4,"3",-1.49170999772228,6,1,NA
"48",7,5,"1",-1.64309823640958,6,1,NA
"49",7,6,"2",-1.64081637666485,6,1,-4.66904679384619
"50",8,0,"3",0.466511595916931,10,1,NA
"51",8,1,"2",-1.55249900233518,10,1,NA
"52",8,2,"2",-1.44424386572678,10,1,NA
"53",8,3,"2",-1.59484506474509,10,0,NA
"54",8,4,"3",0.624199231538147,10,0,NA
"55",8,5,"2",0.576651294288791,10,1,NA
"56",8,6,"3",-1.32584487629182,10,0,-3.61534988786333
"57",9,0,"2",0.36474056542638,9,1,NA
"58",9,1,"2",-1.46789947180496,9,0,NA
"59",9,2,"3",0.550751526997466,9,1,NA
"60",9,3,"3",-1.64776527218934,9,1,NA
"61",9,4,"2",-1.57535436356524,9,0,NA
"62",9,5,"1",0.463236293973969,9,0,NA
"63",9,6,"3",0.475429182477181,9,1,-5.48991229471534
"64",10,0,"1",0.742584854539475,8,1,NA
"65",10,1,"1",-1.46124513051408,8,1,NA
"66",10,2,"2",-1.39566302691751,8,1,NA
"67",10,3,"1",-1.47129188260093,8,1,NA
"68",10,4,"3",-1.51323739810137,8,1,NA
"69",10,5,"2",-1.53395407451374,8,1,NA
"70",10,6,"2",-1.52352779012714,8,1,-4.67669580556293
"71",11,0,"2",0.568363199648955,6,1,NA
"72",11,1,"1",-1.31049487252546,6,0,NA
"73",11,2,"1",0.496541715398091,6,1,NA
"74",11,3,"3",-1.70240315384401,6,1,NA
"75",11,4,"3",-1.35132173190142,6,0,NA
"76",11,5,"3",0.271311306318954,6,1,NA
"77",11,6,"2",-1.51224841299425,6,1,-4.42609251135493
"78",12,0,"1",0.451225567830782,5,0,NA
"79",12,1,"2",0.537511508003105,5,1,NA
"80",12,2,"3",-1.60549667053216,5,1,NA
"81",12,3,"2",-1.64499973653078,5,1,NA
"82",12,4,"3",-1.45057534226649,5,1,NA
"83",12,5,"2",-1.52307602112272,5,1,NA
"84",12,6,"2",-1.42664480761162,5,1,-4.61741187176919
"85",13,0,"3",0.454833939769286,6,1,NA
"86",13,1,"2",-1.4201310729138,6,1,NA
"87",13,2,"3",-1.44048099885298,6,1,NA
"88",13,3,"3",-1.49127244181227,6,1,NA
"89",13,4,"2",-1.55445686016168,6,1,NA
"90",13,5,"3",-1.64172030201682,6,1,NA
"91",13,6,"2",-1.58348709418319,6,0,-2.70268545106682
"92",14,0,"2",0.445271391892846,7,0,NA
"93",14,1,"2",0.490893691817182,7,1,NA
"94",14,2,"3",-1.39743951879882,7,1,NA
"95",14,3,"1",-1.52513921760222,7,1,NA
"96",14,4,"2",-1.36344036610915,7,1,NA
"97",14,5,"2",-1.46090138006147,7,1,NA
"98",14,6,"1",-1.44395640971628,7,0,-1.7795270036967
"99",15,0,"1",0.480537059207848,9,1,NA
"100",15,1,"3",-1.59737857959427,9,1,NA
"101",15,2,"2",-1.49880710787607,9,1,NA
"102",15,3,"3",-1.41452705034887,9,1,NA
"103",15,4,"2",-1.44126502849927,9,1,NA
"104",15,5,"2",-1.59314710978557,9,1,NA
"105",15,6,"2",-1.59715532689642,9,1,-4.67538244078742
"106",16,0,"1",0.554250683844225,10,1,NA
"107",16,1,"3",-1.51805934052409,10,1,NA
"108",16,2,"3",-1.66754918911411,10,1,NA
"109",16,3,"2",-1.50528098500105,10,1,NA
"110",16,4,"2",-1.52459229533817,10,1,NA
"111",16,5,"2",-1.46036807000217,10,1,NA
"112",16,6,"2",-1.6290755956168,10,1,-4.62567370258849
"113",17,0,"3",0.628220832211781,10,1,NA
"114",17,1,"1",-1.62722421632511,10,0,NA
"115",17,2,"3",0.615038031117225,10,0,NA
"116",17,3,"3",0.485460484604424,10,1,NA
"117",17,4,"2",-1.36800639406183,10,0,NA
"118",17,5,"1",0.587288865328887,10,1,NA
"119",17,6,"1",-1.46635276576267,10,1,-3.79174488469703
"120",18,0,"3",0.542505489304767,6,1,NA
"121",18,1,"3",-1.33858763811458,6,1,NA
"122",18,2,"3",-1.39573723818568,6,1,NA
"123",18,3,"1",-1.46691858647959,6,0,NA
"124",18,4,"2",0.474996275679815,6,1,NA
"125",18,5,"2",-1.28447911825614,6,1,NA
"126",18,6,"3",-1.26490879320333,6,1,-5.39066489874225
"127",19,0,"1",0.352910658527114,10,1,NA
"128",19,1,"3",-1.52728808896452,10,1,NA
